metric,measurement,timestep,episode,model,env
timestep_rewards,"[0.8242654820933183, 0.2, 0.2, 1.0, 0.2, 0.2, 1.0, 0.7083761018199916, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.9470165858408848, 0.2, 0.2, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 1.0, 0.2]",50,22,RainbowDQNAgent,
moving_rewards,29.61398103559112,50,22,RainbowDQNAgent,
episode_rewards,25.38773944628954,50,23,RainbowDQNAgent,
timestep_rewards,"[0.8045952986786276, 1.0, 0.9619310326722441, 0.7631820035057502, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.858031111432932, 1.0, 0.2, 0.2, 0.2, 1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 1.0, 1.0, 0.2, 0.2, 1.0, 1.0, 0.2, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2]",50,23,RainbowDQNAgent,
moving_rewards,29.43788763603688,50,23,RainbowDQNAgent,
episode_rewards,18.600024393114513,50,24,RainbowDQNAgent,
timestep_rewards,"[0.630759861192419, 0.2, 1.0, 0.698401408262572, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.6708631236595337, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0]",50,24,RainbowDQNAgent,
moving_rewards,29.004373106319985,50,24,RainbowDQNAgent,
episode_rewards,39.44229983263935,50,25,RainbowDQNAgent,
timestep_rewards,"[1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8422998326393454, 1.0, 1.0, 0.2, 0.2, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0]",50,25,RainbowDQNAgent,
moving_rewards,29.405831826563038,50,25,RainbowDQNAgent,
episode_rewards,36.189047536993286,50,26,RainbowDQNAgent,
timestep_rewards,"[0.8637184573206355, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 0.2, 1.0, 0.9253290796726578, 1.0, 1.0, 0.2, 1.0, 0.2, 1.0, 0.2, 1.0, 1.0, 0.2, 1.0, 0.2, 1.0, 0.2, 1.0, 1.0, 0.2, 1.0, 1.0, 0.2, 0.2, 1.0, 1.0, 0.2, 0.2, 1.0, 1.0, 0.2, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 0.2, 1.0, 1.0]",50,26,RainbowDQNAgent,
moving_rewards,29.657062038060456,50,26,RainbowDQNAgent,
episode_rewards,14.799999999999986,50,27,RainbowDQNAgent,
timestep_rewards,"[1.0, 1.0, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",50,27,RainbowDQNAgent,
moving_rewards,29.126452679558295,50,27,RainbowDQNAgent,
episode_rewards,30.799999999999986,50,28,RainbowDQNAgent,
timestep_rewards,"[1.0, 0.2, 0.2, 0.2, 1.0, 0.2, 1.0, 1.0, 1.0, 0.2, 0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 1.0, 1.0, 1.0, 0.2, 1.0, 0.2, 0.2, 1.0, 1.0, 1.0, 0.2, 0.2, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 1.0, 1.0]",50,28,RainbowDQNAgent,
moving_rewards,29.184161207849385,50,28,RainbowDQNAgent,
episode_rewards,35.87891264807212,50,29,RainbowDQNAgent,
timestep_rewards,"[0.7553626983060227, 1.0, 0.8176903779011566, 1.0, 1.0, 1.0, 0.2, 1.0, 0.2, 1.0, 1.0, 0.9058595718649443, 0.2, 1.0, 1.0, 0.2, 1.0, 0.2, 1.0, 0.2, 1.0, 1.0, 0.2, 1.0, 0.2, 1.0, 0.2, 1.0, 0.2, 1.0, 0.2, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 0.2, 0.2, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 0.2]",50,29,RainbowDQNAgent,
moving_rewards,29.407319589190145,50,29,RainbowDQNAgent,
episode_rewards,13.942740926274805,50,30,RainbowDQNAgent,
timestep_rewards,"[0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.9427409262748142, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 1.0, 0.2]",50,30,RainbowDQNAgent,
moving_rewards,28.90846221296707,50,30,RainbowDQNAgent,
episode_rewards,37.69347146237067,50,31,RainbowDQNAgent,
timestep_rewards,"[0.9731287409111985, 0.40804394972772684, 0.40804394972772684, 0.6405421392554839, 0.40804394972772684, 0.40804394972772684, 0.40804394972772684, 1.0, 0.9189215876494454, 0.40804394972772684, 1.0, 1.0, 1.0, 0.40804394972772684, 1.0, 1.0, 1.0, 1.0, 0.40804394972772684, 1.0, 0.40804394972772684, 1.0, 1.0, 0.40804394972772684, 0.40804394972772684, 0.40804394972772684, 0.40804394972772684, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.40804394972772684, 0.40804394972772684, 1.0, 1.0, 0.40804394972772684, 1.0, 1.0, 1.0, 0.40804394972772684, 1.0, 0.40804394972772684, 1.0, 0.40804394972772684, 1.0, 0.40804394972772684, 1.0, 1.0]",50,31,RainbowDQNAgent,
moving_rewards,29.182993752010933,50,31,RainbowDQNAgent,
episode_rewards,11.599999999999993,50,32,RainbowDQNAgent,
timestep_rewards,"[1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",50,32,RainbowDQNAgent,
moving_rewards,28.650175759525755,50,32,RainbowDQNAgent,
episode_rewards,50.0,50,33,RainbowDQNAgent,
timestep_rewards,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",50,33,RainbowDQNAgent,
moving_rewards,29.278111766598528,50,33,RainbowDQNAgent,
episode_rewards,11.59999999999999,50,34,RainbowDQNAgent,
timestep_rewards,"[0.2, 0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",50,34,RainbowDQNAgent,
moving_rewards,28.773022858981427,50,34,RainbowDQNAgent,
episode_rewards,49.990167902368256,50,35,RainbowDQNAgent,
timestep_rewards,"[0.9901679023682515, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",50,35,RainbowDQNAgent,
moving_rewards,29.3623879990755,50,35,RainbowDQNAgent,
episode_rewards,20.477249443859144,50,36,RainbowDQNAgent,
timestep_rewards,"[0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 1.0, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705, 0.3974948866093705]",50,36,RainbowDQNAgent,
moving_rewards,29.12224911920479,50,36,RainbowDQNAgent,
episode_rewards,15.510646474973356,50,37,RainbowDQNAgent,
timestep_rewards,"[0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668, 0.3102129294994668]",50,37,RainbowDQNAgent,
moving_rewards,28.76404904961975,50,37,RainbowDQNAgent,
